objectid,NEIGHBORHO,VEH_CAPITA,ZERO_VEH_H,COM_DA,COM_CARPOO,COM_TRANSI,MTA_EQUITYSTRATEGY_NHOODS_AREA,shape,data_as_of,data_loaded_at
0,Excelsior/Outer Mission,0.00,0,0,0,0,1.6044,"MULTIPOLYGON (((-122.43370682 37.713143157, -122.432777138 37.714437153, -122.431153836 37.716593606, -122.426112341 37.715678101, -122.426354081 37.716700125, -122.425834817 37.718279389, -122.426390271 37.718560725, -122.425830006 37.719302107, -122.425479352 37.720232587, -122.423421367 37.719825979, -122.423506839 37.718969604, -122.417599924 37.720235362, -122.41855273 37.722114098, -122.419375171 37.723498469, -122.42037124 37.725910793, -122.414460251 37.727456928, -122.41545902 37.73216374, -122.421702999 37.731807, -122.422785843 37.731449471, -122.42353532 37.731733138, -122.424561576 37.731355725, -122.425919714 37.731815773, -122.428038001 37.732016, -122.43531257 37.724004909, -122.448098001 37.723005001, -122.448727 37.71745, -122.443706032 37.713591511, -122.445528 37.711887, -122.448376962 37.710372708, -122.453831607 37.708223588, -122.440535282 37.708226917, -122.435000231 37.708311179, -122.434182694 37.71136798, -122.43370682 37.713143157)))",01/18/2024 03:28:53 PM,01/18/2024 03:33:11 PM
0,Ocean View/Ingleside,0.00,0,0,0,0,,"MULTIPOLYGON (((-122.453105 37.723269999, -122.454115824 37.723473571, -122.45694763 37.724018953, -122.459213 37.724523368, -122.461521216 37.725037271, -122.462213257 37.725275014, -122.462263999 37.725211, -122.462279001 37.724866001, -122.462276 37.724271, -122.462274 37.723637001, -122.462270999 37.723020999, -122.462265 37.721828, -122.462264999 37.721747999, -122.462244936 37.718219525, -122.462638543 37.71821115, -122.462639625 37.717936036, -122.472576253 37.717878266, -122.47261975 37.717519563, -122.472517356 37.717109353, -122.472388517 37.716593205, -122.47163471 37.714143455, -122.471235856 37.712803241, -122.471180998 37.712618905, -122.471052688 37.710377559, -122.471050939 37.708259886, -122.471001001 37.708252001, -122.470883 37.708232, -122.469236 37.708232, -122.469056999 37.708232001, -122.468939 37.708232001, -122.468915 37.708232001, -122.468882999 37.708232, -122.468607 37.708232, -122.468449999 37.708232001, -122.467883 37.708232001, -122.467183 37.708232, -122.466979 37.70821, -122.466962301 37.708207329, -122.464811621 37.708212603, -122.46467 37.708211, -122.464483 37.708232001, -122.464449999 37.708232001, -122.464083 37.708232, -122.464043 37.708239999, -122.462783001 37.708232001, -122.46274 37.708232, -122.462601 37.708232001, -122.462281999 37.708232, -122.462052999 37.708232, -122.461383001 37.708232001, -122.461275 37.708232001, -122.459894001 37.708232, -122.459108905 37.708231071, -122.45885491 37.70846528, -122.456259945 37.710857986, -122.455853377 37.711232847, -122.455601616 37.711471304, -122.454694187 37.712330768, -122.45444209 37.712569534, -122.453561429 37.713131335, -122.452543055 37.713695413, -122.451807248 37.714528395, -122.450398702 37.71618003, -122.449535178 37.717192538, -122.449501512 37.717211183, -122.448924104 37.717530964, -122.448682791 37.717840457, -122.44829512 37.721409877, -122.45009648 37.722117236, -122.451678403 37.722738392, -122.452239325 37.723112131, -122.452523856 37.723166937, -122.452987802 37.723256302, -122.453105 37.723269999)))",01/18/2024 03:28:53 PM,01/18/2024 03:33:11 PM
13,Chinatown,0.11,82,13,3,34,0,"MULTIPOLYGON (((-122.408806407 37.790161363, -122.408804024 37.79018423, -122.408801509 37.790184524, -122.408805781 37.790161465, -122.408429051 37.790204049, -122.408069224 37.790246593, -122.406565163 37.790417805, -122.406205711 37.790475025, -122.404040591 37.790763126, -122.40519518 37.79651398, -122.405465023 37.798012865, -122.406709587 37.797850135, -122.408153083 37.797667183, -122.410257486 37.797399502, -122.408807377 37.790161205, -122.408806407 37.790161363)), ((-122.408807188 37.790153863, -122.408788498 37.790146822, -122.408806407 37.790161363, -122.408807188 37.790153863)))",01/18/2024 03:28:53 PM,01/18/2024 03:33:11 PM
14,Downtown/Civic Center,0.12,74,12,1,45,0.8858,"MULTIPOLYGON (((-122.421953543 37.78848801, -122.421007536 37.783851943, -122.421636752 37.783730161, -122.424298393 37.783407925, -122.422213202 37.772905106, -122.418658584 37.775558162, -122.415560999 37.773101, -122.402708001 37.783259, -122.405862597 37.785754551, -122.406223004 37.785712865, -122.406326217 37.786213235, -122.407155657 37.790359572, -122.40715901 37.790362382, -122.408392615 37.790226671, -122.408623122 37.790193564, -122.408804024 37.79018423, -122.408789064 37.790168846, -122.408742624 37.790162254, -122.408912898 37.79013431, -122.40909386 37.790104613, -122.411745474 37.789801989, -122.418608739 37.788909808, -122.421953543 37.78848801)))",01/18/2024 03:28:53 PM,01/18/2024 03:33:11 PM
17,Western Addition,0.41,43,26,5,41,0,"MULTIPOLYGON (((-122.422213202 37.772905106, -122.424298393 37.783407925, -122.421636752 37.783730161, -122.421007536 37.783851943, -122.421953543 37.78848801, -122.422333495 37.790349862, -122.443753267 37.78764721, -122.443183 37.784827, -122.4427931 37.782885337, -122.441671639 37.782233947, -122.441339501 37.781235468, -122.440958164 37.779364139, -122.440396755 37.779438637, -122.439844236 37.776644007, -122.436507233 37.777068081, -122.434863772 37.777280664, -122.433218738 37.777490367, -122.432467068 37.773756991, -122.431810934 37.770500961, -122.431356623 37.769320912, -122.426760774 37.769577092, -122.426329184 37.769600881, -122.423301572 37.772048203, -122.423268829 37.772073982, -122.422213202 37.772905106)))",01/18/2024 03:28:53 PM,01/18/2024 03:33:11 PM
20,Mission,0.35,39,23,6,43,1.7304,"MULTIPOLYGON (((-122.424756486 37.747849389, -122.423180579 37.747958692, -122.421568364 37.748070489, -122.420171401 37.748178757, -122.418126456 37.748212061, -122.415005219 37.748262824, -122.411343635 37.748236772, -122.407578812 37.748383272, -122.405766649 37.749096572, -122.404158764 37.749379054, -122.403576292 37.749388464, -122.403018604 37.751107416, -122.402890891 37.754529364, -122.403270729 37.756746156, -122.403942861 37.757761265, -122.405146658 37.758511287, -122.406249413 37.759519422, -122.4062845 37.760886808, -122.40546497 37.762524505, -122.40498151 37.764669745, -122.405014386 37.765951669, -122.40503192 37.766635362, -122.405280112 37.767913805, -122.407028963 37.768911489, -122.408760291 37.769225455, -122.412754692 37.769588192, -122.41577137 37.769624699, -122.419768033 37.77007266, -122.421172038 37.77022078, -122.422690348 37.770623513, -122.423268829 37.772073982, -122.423301572 37.772048203, -122.426329184 37.769600881, -122.426760774 37.769577092, -122.425577921 37.756616726, -122.424949128 37.749725265, -122.424756486 37.747849389)))",01/18/2024 03:28:53 PM,01/18/2024 03:33:11 PM
